openalex,cites,year,title,authors,venue,doi,arxiv,type,cited_by,oa_url,abstract
W2554762961,OY02,2016,A randomized intertial primal-dual fixed point algorithm for monotone inclusions,Meng Wen; Shigang Yue; Yuchao Tan; Jigen Peng,arXiv (Cornell University),10.48550/arxiv.1611.05142,1611.05142,preprint,1,https://arxiv.org/pdf/1611.05142,"In this paper, we propose a randomized intertial block-coordinate primaldual fixed point algorithm to solve a wide array of monotone inclusion problems base on the modification of the heavy ball method of Nesterov. These methods rely on a sweep of blocks of variables which are activated at each iteration according to a random rule. To this end we formulate the inertial version of the Krasnosel'skii-Mann algorithm for approximating the set of fixed points of a quasinonexpansive operator, for which we also provide an exhaustive convergence analysis. As a by-product, we can obtain some intertial block-coordinate operator splitting methods for solving composite monotone inclusion and convex minimization problems."
W2337736955,OY02,2016,A stochastic coordinate descent primal-dual algorithm with dynamic stepsize for large-scale composite optimization,Meng Wen; Shigang Yue; Yuchao Tang; Jigen Peng,arXiv (Cornell University),10.48550/arxiv.1604.04172,1604.04172,preprint,0,https://arxiv.org/pdf/1604.04172,"In this paper we consider the problem of finding the minimizations of the sum of two convex functions and the composition of another convex function with a continuous linear operator. With the idea of coordinate descent, we design a stochastic coordinate descent primal-dual splitting algorithm with dynamic stepsize. Based on randomized Modified Krasnosel'skii-Mann iterations and the firmly nonexpansive properties of the proximity operator, we achieve the convergence of the proposed algorithms. Moreover, we give two applications of our method."
W2339849759,OY02,2016,A stochastic coordinate descent inertial primal-dual algorithm for large-scale composite optimization,Meng Wen; Yuchao Tang; Jigen Peng,arXiv (Cornell University),10.48550/arxiv.1604.04845,1604.04845,preprint,0,https://arxiv.org/pdf/1604.04845,"We consider an inertial primal-dual algorithm to compute the minimizations of the sum of two convex functions and the composition of another convex function with a continuous linear operator. With the idea of coordinate descent, we design a stochastic coordinate descent inertial primal-dual splitting algorithm. Moreover, in order to prove the convergence of the proposed inertial algorithm, we formulate first the inertial version of the randomized Krasnosel'skii-Mann iterations algorithm for approximating the set of fixed points of a nonexpansive operator and investigate its convergence properties. Then the convergence of stochastic coordinate descent inertial primal-dual splitting algorithm is derived by applying the inertial version of the randomized Krasnosel'skii-Mann iterations to the composition of the proximity operator."
W2963654173,CY15,2017,A Three-Operator Splitting Scheme and its Optimization Applications,Damek Davis; Wotao Yin,Set-Valued and Variational Analysis,10.1007/s11228-017-0421-z,,article,310,,
W2591158312,CY15,2017,Dynamic Control of Agents Playing Aggregative Games With Coupling Constraints,Sergio Grammatico,IEEE Transactions on Automatic Control,10.1109/tac.2017.2672902,1609.08962,article,213,https://arxiv.org/pdf/1609.08962,"We address the problem to control a population of noncooperative heterogeneous agents, each with convex cost function depending on the average population state, and all sharing a convex constraint, toward an aggregative equilibrium. We assume an information structure through which a central coordinator has access to the average population state and can broadcast control signals for steering the decentralized optimal responses of the agents. We design a dynamic control law that, based on operator theoretic arguments, ensures global convergence to an equilibrium independently on the problem data, that are the cost functions and the constraints, local and global, of the agents. We illustrate the proposed method in two application domains: Network congestion control and demand side management."
W2605652624,CY15,2017,Quasi-Nonexpansive Iterations on the Affine Hull of Orbits: From Mann's Mean Value Algorithm to Inertial Methods,Patrick L. Combettes; Lilian E. Glaudin,SIAM Journal on Optimization,10.1137/17m112806x,,article,76,https://hal.sorbonne-universite.fr/hal-01678600,"Fixed point iterations play a central role in the design and the analysis of a large number of optimization algorithms. We study a new iterative scheme in which the update is obtained by applying a composition of quasi-nonexpansive operators to a point in the affine hull of the orbit generated up to the current iterate. This investigation unifies several algorithmic constructs, including Mann's mean value method, inertial methods, and multilayer memoryless methods. It also provides a framework for the development of new algorithms, such as those we propose for solving monotone inclusion and minimization problems."
W2962688058,CY15,2017,THE VARIABLE METRIC FORWARD-BACKWARD SPLITTING ALGORITHM UNDER MILD DIFFERENTIABILITY ASSUMPTIONS,Saverio Salzo,IRIS Research product catalog (Sapienza University of Rome),10.1137/16m1073741,,article,58,,"We study the variable metric forward-backward splitting algorithm for convex minimization problems without the standard assumption of the Lipschitz continuity of the gradient. In this setting, we prove that, by requiring only mild assumptions on the smooth part of the objective function and using several types of line search procedures for determining either the gradient descent stepsizes or the relaxation parameters, one still obtains weak convergence of the iterates and convergence in the objective function values. Moreover, the o(1/k) convergence rate in the function values is obtained if slightly stronger differentiability assumptions are added. We also illustrate several applications including problems that involve Banach spaces and functions of divergence type."
W2759175286,CY15,2017,Proximal Dynamics in Multiagent Network Games,Sergio Grammatico,IEEE Transactions on Control of Network Systems,10.1109/tcns.2017.2754358,,article,50,https://repository.tudelft.nl/file/File_e8e5be80-0975-43ab-8c86-eb79e5369596,"In this paper, we consider dynamics and protocols for agents seeking an equilibrium in a network game with proximal quadratic cost coupling. We adopt an operator theoretic perspective to show global convergence to a network equilibrium, under the assumption of convex cost functions with proximal quadratic couplings, time-invariant and time-varying communication graph along with convex local constraints, and time-invariant communication graph along with convex local constraints and separable convex coupling constraints. We show that proximal dynamics generalize opinion dynamics in social networks and are applicable to distributed tertiary control in power networks."
W2593916599,CY15,2017,Iterative algorithms for the multiple-sets split feasibility problem in Hilbert spaces,Nguyễn Bường,Numerical Algorithms,10.1007/s11075-017-0282-4,,article,36,,
W2580889931,CY15,2017,Local Convergence Properties of Douglas–Rachford and Alternating Direction Method of Multipliers,Jingwei Liang; Jalal Fadili; Gabriel Peyré,Journal of Optimization Theory and Applications,10.1007/s10957-017-1061-z,,article,28,https://hal.science/hal-01658848,
W2598135565,CY15,2017,Convergence properties of dynamic string-averaging projection methods in the presence of perturbations,Christian Bargetz; Simeon Reich; Rafał Zalas,Numerical Algorithms,10.1007/s11075-017-0310-4,1703.07803,article,26,https://link.springer.com/content/pdf/10.1007/s11075-017-0310-4.pdf,"Assuming that the absence of perturbations guarantees weak or strong convergence to a common fixed point, we study the behavior of perturbed products of an infinite family of nonexpansive operators. Our main result indicates that the convergence rate of unperturbed products is essentially preserved in the presence of perturbations. This, in particular, applies to the linear convergence rate of dynamic string-averaging projection methods, which we establish here as well. Moreover, we show how this result can be applied to the superiorization methodology."
W1962493159,CY15,2017,Tight global linear convergence rate bounds for Douglas–Rachford splitting,Pontus Giselsson,Journal of Fixed Point Theory and Applications,10.1007/s11784-017-0417-1,1506.01556,article,10,https://link.springer.com/content/pdf/10.1007%2Fs11784-017-0417-1.pdf,"Recently, several authors have shown local and global convergence rate results for Douglas–Rachford splitting under strong monotonicity, Lipschitz continuity, and cocoercivity assumptions. Most of these focus on the convex optimization setting. In the more general monotone inclusion setting, Lions and Mercier showed a linear convergence rate bound under the assumption that one of the two operators is strongly monotone and Lipschitz continuous. We show that this bound is not tight, meaning that no problem from the considered class converges exactly with that rate. In this paper, we present tight global linear convergence rate bounds for that class of problems. We also provide tight linear convergence rate bounds under the assumptions that one of the operators is strongly monotone and cocoercive, and that one of the operators is strongly monotone and the other is cocoercive. All our linear convergence results are obtained by proving the stronger property that the Douglas–Rachford operator is contractive."
W2521439173,CY15,2017,Line search for generalized alternating projections,Mattias Fält; Pontus Giselsson,,10.23919/acc.2017.7963671,,conference-paper,9,,"This paper is about line search for the generalized alternating projections (GAP) method. This method is a generalization of the von Neumann alternating projections method, where instead of alternating projections, relaxed projections are alternated. The method can be interpreted as an averaged iteration of a nonexpansive mapping. Therefore, a recently proposed line search method for such algorithms is applicable to GAP. We evaluate this line search and show situations when the line search can be performed with little additional cost. We also present a variation of the basic line search for GAP-the projected line search. We prove its convergence and show that the line search condition is convex in the step length parameter. We show that almost all convex optimization problems can be solved using this approach and numerical results show superior performance with both the standard and the projected line search, sometimes by several orders of magnitude, compared to the nominal method."
W2346333570,CY15,2017,The Variable Metric Forward-Backward Splitting Algorithm Under Mild Differentiability Assumptions,Saverio Salzo,SIAM Journal on Optimization,10.1137/16m1073741,1605.00952,article,4,https://arxiv.org/pdf/1605.00952,"We study the variable metric forward-backward splitting algorithm for convex minimization problems without the standard assumption of the Lipschitz continuity of the gradient. In this setting, we prove that, by requiring only mild assumptions on the smooth part of the objective function and using several types of line search procedures for determining either the gradient descent stepsizes or the relaxation parameters, one still obtains weak convergence of the iterates and convergence in the objective function values. Moreover, the $o(1/k)$ convergence rate in the function values is obtained if slightly stronger differentiability assumptions are added. We also illustrate several applications including problems that involve Banach spaces and functions of divergence type."
W2290544825,CY15,2017,Asymmetric forward–backward–adjoint splitting for solving monotone inclusions involving three operators,Puya Latafat; Panagiotis Patrinos,Computational Optimization and Applications,10.1007/s10589-017-9909-6,1602.08729,article,1,https://arxiv.org/pdf/1602.08729,
W2609501133,CY15,2017,Time-Varying Convex Optimization via Time-Varying Averaged Operators,Andrea Simonetto,arXiv (Cornell University),10.48550/arxiv.1704.07338,1704.07338,preprint,36,https://arxiv.org/pdf/1704.07338,"Devising efficient algorithms that track the optimizers of continuously varying convex optimization problems is key in many applications. A possible strategy is to sample the time-varying problem at constant rate and solve the resulting time-invariant problem. This can be too computationally burdensome in many scenarios. An alternative strategy is to set up an iterative algorithm that generates a sequence of approximate optimizers, which are refined every time a new sampled time-invariant problem is available by one iteration of the algorithm. These types of algorithms are called running. A major limitation of current running algorithms is their key assumption of strong convexity and strong smoothness of the time-varying convex function. In addition, constraints are only handled in simple cases. This limits the current capability for running algorithms to tackle relevant problems, such as $\ell_1$-regularized optimization programs. In this paper, these assumptions are lifted by leveraging averaged operator theory and a fairly comprehensive framework for time-varying convex optimization is presented. In doing so, new results characterizing the convergence of running versions of a number of widely used algorithms are derived."
W2953366062,CY15,2017,Quasinonexpansive Iterations on the Affine Hull of Orbits: From Mann's Mean Value Algorithm to Inertial Methods,Patrick L. Combettes; Lilian E. Glaudin,arXiv (Cornell University),10.48550/arxiv.1704.03563,1704.03563,preprint,15,https://arxiv.org/pdf/1704.03563,"Fixed point iterations play a central role in the design and the analysis of a large number of optimization algorithms. We study a new iterative scheme in which the update is obtained by applying a composition of quasinonexpansive operators to a point in the affine hull of the orbit generated up to the current iterate. This investigation unifies several algorithmic constructs, including Mann's mean value method, inertial methods, and multi-layer memoryless methods. It also provides a framework for the development of new algorithms, such as those we propose for solving monotone inclusion and minimization problems."
W2783044190,CY15,2017,Inexact iteration of averaged operators for non-strongly convex stochastic optimization,William B. Haskell; Rahul Jain,,10.1109/allerton.2017.8262871,,conference-paper,0,,"We focus on inexact iteration of averaged operators with stochastic errors, and we give conditions for a sublinear O (1 /K) convergence rate for this class of iteration. Then, we show that our general development gives convergence rate analysis for sampling-based algorithms for non-strongly convex stochastic optimization including minimization, saddle-point problems, and constrained optimization."
W2886903283,CY15,2018,On the equivalence of the primal-dual hybrid gradient method and Douglas–Rachford splitting,Daniel O’Connor; Lieven Vandenberghe,Mathematical Programming,10.1007/s10107-018-1321-1,,article,63,,
W2795088933,CY15,2018,Projected-gradient algorithms for Generalized Equilibrium seeking in Aggregative Games arepreconditioned Forward-Backward methods,Giuseppe Belgioioso; Sergio Grammatico,,10.23919/ecc.2018.8550342,1803.10441,conference-paper,18,https://arxiv.org/pdf/1803.10441,"We show that projected-gradient methods for the distributed computation of generalized Nash equilibria in aggregative games are preconditioned forward-backward splitting methods appliedto the KKT operator of the game. Specifically, we adopt the preconditioned forward-backward design, recently conceived by Yi and Pavel in the manuscript ''A distributed primal-dual algorithm for computation of generalized Nash equilibria via operator splitting methods'' for generalized Nash equilibrium seeking in aggregative games. Consequently, we notice that two projected-gradient methods recently proposed in the literature are preconditioned forward-backward meth- ods. More generally, we provide a unifying operator-theoretic ground to design projected-gradient methods for generalized equilibrium seeking in aggregative games."
W2793153125,CY15,2018,Tight Global Linear Convergence Rate Bounds for Operator Splitting Methods,Goran Banjac; Paul J. Goulart,IEEE Transactions on Automatic Control,10.1109/tac.2018.2808442,,article,20,,"In this paper, we establish necessary and sufficient conditions for global linear convergence rate bounds in operator splitting methods for a general class of convex optimization problems, where the associated fixed-point operator is strongly quasi-nonexpansive. We also provide a tight bound on the achievable convergence rate. Most existing results establishing global linear convergence in such methods require restrictive assumptions regarding strong convexity and smoothness of the constituent functions in the optimization problem. However, there are several examples in the literature showing that linear convergence is possible even when these properties do not hold. We provide a unifying analysis method for establishing global linear convergence based on linear regularity and show that many existing results are special cases of our approach. Moreover, we propose a novel linearly convergent splitting method for linear programming."
W2883816074,CY15,2018,Union Averaged Operators with Applications to Proximal Algorithms for Min-Convex Functions,Minh N. Dao; Matthew K. Tam,Journal of Optimization Theory and Applications,10.1007/s10957-018-1443-x,1807.05810,article,19,https://link.springer.com/content/pdf/10.1007/s10957-018-1443-x.pdf,
W2939114304,CY15,2018,Asynchronous Distributed Power Control of Multi-Microgrid Systems Based on the Operator Splitting Approach,Zhaojian Wang; Shengwei Mei; Feng Liu; Peng Yi; Ming Cao,arXiv (Cornell University),10.48550/arxiv.1810.11998,1810.11998,preprint,2,https://arxiv.org/pdf/1810.11998,"Forming (hybrid) AC/DC microgrids (MGs) has become a promising manner for the interconnection of various kinds of distributed generators that are inherently AC or DC electric sources. This paper addresses the distributed asynchronous power control problem of hybrid microgrids, considering imperfect communication due to non-identical sampling rates and communication delays. To this end, we first formulate the optimal power control problem of MGs and devise a synchronous algorithm. Then, we analyze the impact of asynchrony on optimal power control and propose an asynchronous iteration algorithm based on the synchronous version. By introducing a random clock at each iteration, different types of asynchrony are fitted into a unified framework, where the asynchronous algorithm is converted into a fixed-point problem based on the operator splitting method, leading to a convergence proof. We further provide an upper bound estimation of the time delay in the communication. Moreover, the real-time implementation of the proposed algorithm in both AC and DC MGs is introduced. By taking the power system as a solver, the controller is simplified by reducing one order and the power loss can be considered. Finally, a benchmark MG is utilized to verify the effectiveness and advantages of the proposed algorithm."
W2785331599,CY15,2018,Monotone operator theory in convex optimization,Patrick L. Combettes,Mathematical Programming,10.1007/s10107-018-1303-3,1802.02694,article,0,https://arxiv.org/pdf/1802.02694,
W2903821133,OY02,2018,MiKM: multi-step inertial Krasnosel’skiǐ–Mann algorithm and its applications,Qiao‐Li Dong; Joshua Zhexue Huang; X. H. Li; Y. J. Cho; Th. M. Rassias,Journal of Global Optimization,10.1007/s10898-018-0727-x,,article,71,,
W2962833434,CY15,2019,Asynchronous Distributed Algorithms for Seeking Generalized Nash Equilibria Under Full and Partial-Decision Information,Peng Yi; Lacra Pavel,IEEE Transactions on Cybernetics,10.1109/tcyb.2019.2908091,,article,93,,"This paper investigates asynchronous algorithms for distributedly seeking generalized Nash equilibria with delayed information in multiagent networks. In the game model, a shared affine constraint couples all players' local decisions. Each player is assumed to only access its private objective function, private feasible set, and a local block matrix of the affine constraint. We first give an algorithm for the case when each agent is able to fully access all other players' decisions. By using auxiliary variables related to communication links and the edge Laplacian matrix, each player can carry on its iteration asynchronously with only private data and possibly delayed information from its neighbors. Then, we consider the case when agents cannot know all other players' decisions, called a partial-decision information case. We introduce a local estimation of the overall agents' decisions and incorporate consensus dynamics on these local estimations. The two algorithms do not need any centralized clock coordination, fully exploit the local computation resource, and remove the idle time due to waiting for the ""slowest"" agent. Both algorithms are developed by preconditioned forward-backward operator splitting, and their convergence is shown by relating them to asynchronous fixed-point iterations, under proper assumptions and fixed and nondiminishing step-size choices. Numerical studies verify the algorithms' convergence and efficiency."
W2800783024,CY15,2019,Convergence of a Relaxed Inertial Forward–Backward Algorithm for Structured Monotone Inclusions,Hédy Attouch; Alexandre Cabot,Applied Mathematics & Optimization,10.1007/s00245-019-09584-z,,article,76,,
W2937855996,CY15,2019,Convexity-edge-preserving Signal Recovery with Linearly Involved Generalized Minimax Concave Penalty Function,Jiro Abe; Masao Yamagishi; Isao Yamada,,10.1109/icassp.2019.8682318,,conference-paper,13,,"In this paper, we propose a new linearly involved convexity-preserving model for signal recovery by extending the idea in the generalized minimax concave (GMC) penalty [Se-lesnick' 17]. The proposed model can use nonconvex penalties but maintain the overall convexity and is applicable to much more general scenarios of signal recovery than the original GMC model. We also propose a new iterative algorithm which has theoretical guarantee of convergence to a global minimizer of the proposed model. A numerical experiment for noise suppression shows excellent edge-preserving performance of the proposed smoother in comparison with the standard convex TV smoother."
W2918100930,CY15,2019,A Krasnoselskii-Mann Algorithm With an Improved EM Preconditioner for PET Image Reconstruction,Yizun Lin; C. Ross Schmidtlein; LI Qia; Si Li; Yuesheng Xu,IEEE Transactions on Medical Imaging,10.1109/tmi.2019.2898271,,article,10,https://ieeexplore.ieee.org/ielx7/42/8821423/08644032.pdf,"This paper presents a preconditioned Krasnoselskii-Mann (KM) algorithm with an improved EM preconditioner (IEM-PKMA) for higher-order total variation (HOTV) regularized positron emission tomography (PET) image reconstruction. The PET reconstruction problem can be formulated as a three-term convex optimization model consisting of the Kullback-Leibler (KL) fidelity term, a nonsmooth penalty term, and a nonnegative constraint term which is also nonsmooth. We develop an efficient KM algorithm for solving this optimization problem based on a fixed-point characterization of its solution, with a preconditioner and a momentum technique for accelerating convergence. By combining the EM precondtioner, a thresholding, and a good inexpensive estimate of the solution, we propose an improved EM preconditioner that can not only accelerate convergence but also avoid the reconstructed image being ""stuck at zero."" Numerical results in this paper show that the proposed IEM-PKMA outperforms existing state-of-the-art algorithms including, the optimization transfer descent algorithm and the preconditioned L-BFGS-B algorithm for the differentiable smoothed anisotropic total variation regularized model, the preconditioned alternating projection algorithm, and the alternating direction method of multipliers for the nondifferentiable HOTV regularized model. Encouraging initial experiments using clinical data are presented."
W2855736346,CY15,2019,Variable Metric Algorithms Driven by Averaged Operators,Lilian E. Glaudin,,10.1007/978-3-030-25939-6_9,,book-chapter,1,,
W2910096890,CY15,2019,"An asynchronous, forward-backward, distributed generalized Nash equilibrium seeking algorithm",Carlo Cenedese; Giuseppe Belgioioso; Sergio Grammatico; Ming Cao,arXiv (Cornell University),10.48550/arxiv.1901.04279,1901.04279,preprint,7,https://arxiv.org/pdf/1901.04279,"In this paper, we propose an asynchronous distributed algorithm for the computation of generalized Nash equilibria in noncooperative games, where the players interact via an undirected communication graph. Specifically, we extend the paper ""Asynchronous distributed algorithm for seeking generalized Nash equilibria"" by Yi and Pavel: we redesign the asynchronous update rule using auxiliary variables over the nodes rather than over the edges. This key modification renders the algorithm scalable for highly interconnected games. The derived asynchronous algorithm is robust against delays in the communication and it eliminates the idle times between computations, hence modeling a more realistic interaction between players with different update frequencies. We address the problem from an operator-theoretic perspective and design the algorithm via a preconditioned forward-backward splitting. Finally, we numerically simulate the algorithm for the Cournot competition in networked markets."
W2968898632,CY15,2019,Asynchronous Distributed Voltage Control in Active Distribution Networks,Zhaojian Wang; Feng Liu; Yifan Su; Boyu Qin,arXiv (Cornell University),10.48550/arxiv.1908.06548,1908.06548,preprint,1,https://arxiv.org/pdf/1908.06548,"With the explosion of distributed energy resources (DERs), voltage regulation in distribution networks has been facing a great challenge. This paper derives an asynchronous distributed voltage control strategy based on the partial primal-dual gradient algorithm, where both active and reactive controllable power of DERs are considered. Different types of asynchrony due to imperfect communication or practical limits, such as random time delays and non-identical sampling/control rates, are fitted into a unified analytic framework. The asynchronous algorithm is then converted into a fixed-point problem by employing the operator splitting method, which leads to a convergence proof with mild conditions. Moreover, an online implementation method is provided to make the controller adjustable to time-varying environments. Finally, numerical experiments are carried out on a rudimentary 8-bus system and the IEEE-123 distribution network to verify the effectiveness of the proposed method."
W2989837026,CY15,2019,Time-varying constrained proximal type dynamics in multi-agent network games,Carlo Cenedese; Giuseppe Belgioioso; Sergio Grammatico; Ming Cao,arXiv (Cornell University),10.48550/arxiv.1911.08443,1911.08443,preprint,1,https://arxiv.org/pdf/1911.08443,"In this paper, we study multi-agent network games subject to affine time-varying coupling constraints and a time-varying communication network. We focus on the class of games adopting proximal dynamics and study their convergence to a persistent equilibrium. The assumptions considered to solve the problem are discussed and motivated. We develop an iterative equilibrium seeking algorithm, using only local information, that converges to a special class of game equilibria. Its derivation is motivated by several examples, showing that the original game dynamics fail to converge. Finally, we apply the designed algorithm to solve a constrained consensus problem, validating the theoretical results."
W2937356094,CY15,2019,On the Convergence of the Inexact Running Krasnosel’skiĭ–Mann Method,Emiliano Dall’Anese; Andrea Simonetto; Andrey Bernstein,IEEE Control Systems Letters,10.1109/lcsys.2019.2914085,1904.08469,article,0,https://arxiv.org/pdf/1904.08469,"This letter leverages a framework based on averaged operators to tackle the problem of tracking fixed points associated with maps that evolve over time. In particular, this letter considers the Krasnosel’skiĭ–Mann (KM) method in a settings where: 1) the underlying map may change at each step of the algorithm, thus leading to a “running” implementation of the KM method, and 2) an imperfect information of the map may be available. An imperfect knowledge of the maps can capture cases where processors feature a finite precision or quantization errors, or the case where (part of) the map is obtained from measurements. The analytical results are applicable to inexact running algorithms for solving optimization problems, whenever the algorithmic steps can be written in the form of (a composition of) averaged operators; examples are provided for inexact running gradient methods and the forward–backward splitting method. Convergence of the average fixed-point residual is investigated for the non-expansive case; linear convergence to a unique fixed-point trajectory is showen in the case of inexact running algorithms emerging from contractive operators."
W2969466705,CY15,2019,Local and Global Analysis of Relaxed Douglas-Rachford for Nonconvex Feasibility Problems,Anna-Lena Martins,,10.53846/goediss-7539,,dissertation,0,https://ediss.uni-goettingen.de/bitstream/21.11130/00-1735-0000-0003-C14C-E/1/diss_martins_web.pdf,"This thesis investigates the local and global convergence analysis of the relaxed Douglas-Rachford method. This algorithm, which was first proposed over a decade ago, has become a standard procedure in applications. Convergence results for this algorithm are limited either to convex feasibility or consistent nonconvex feasibility with strong assumptions on the regularity of the underlying sets. After discussing feasibility problems and projection methods to solve these in general, we investigate the relaxed Douglas-Rachford method in detail for inconsistent and nonconvex feasibility problems. By introducing a new type of regularity of sets, called superregularity at a distance, we establish sufficient conditions for local linear convergence of the corresponding sequence for the method of relaxed Douglas-Rachford subsuming already existing results in the literature. We analyze a cyclic relaxed Douglas-Rachford scheme and state convergence results for closed and convex sets, by considering many-set feasibility problems. We then apply the theory developed to the famous phase retrieval problem and discuss the numerical performance of the algorithms."
W2970743025,CY15,2019,Convergence analysis of an inexact inertial Krasnoselskii-Mann algorithm with applications,"Fuying Cui; Yang Yang; Yuchao Tang; Zhu, Chuanxi",arXiv (Cornell University),10.48550/arxiv.1908.11029,1908.11029,preprint,0,https://arxiv.org/pdf/1908.11029,"The classical Krasnoselskii-Mann iteration is broadly used for approximating fixed points of nonexpansive operators. To accelerate the convergence of the Krasnoselskii-Mann iteration, the inertial methods were received much attention in recent years. In this paper, we propose an inexact inertial Krasnoselskii-Mann algorithm. In comparison with the original inertial Krasnoselskii-Mann algorithm, our algorithm allows error for updating the iterative sequence, which makes it more flexible and useful in practice. We establish weak convergence results for the proposed algorithm under different conditions on parameters and error terms. Furthermore, we provide a nonasymptotic convergence rate for the proposed algorithm. As applications, we propose and study inexact inertial proximal point algorithm and inexact inertial forward-backward splitting algorithm for solving monotone inclusion problems and the corresponding convex minimization problems."
W2977007652,CY15,2019,Asynchronous and time-varying proximal type dynamics multi-agent network games,Carlo Cenedese; Giuseppe Belgioioso; Yu Kawano; Sergio Grammatico; Ming Cao,arXiv (Cornell University),10.48550/arxiv.1909.11203,1909.11203,preprint,3,https://arxiv.org/pdf/1909.11203,"In this paper, we study proximal type dynamics in the context of noncooperative multi-agent network games. These dynamics arise in different applications, since they describe distributed decision making in multi-agent networks, e.g., in opinion dynamics, distributed model fitting and network information fusion, where the goal of each agent is to seek an equilibrium using local information only. We analyse several conjugations of this class of games, providing convergence results, or designing equilibrium seeking algorithms when the original dynamics fail to converge. For the games subject only to local constraints we look into both synchronous/asynchronous dynamics and time-varying communication networks. For games subject in addition to coupling constraints, we design an equilibrium seeking algorithm converging to a special class of game equilibria. Finally, we validate the theoretical results via numerical simulations on opinion dynamics and distributed model fitting."
W2999957625,HRY20,2019,Scaled Relative Graph of Normal Matrices,Xinmeng Huang; Ernest K. Ryu; Wotao Yin,arXiv (Cornell University),10.48550/arxiv.2001.02061,2001.02061,preprint,7,https://arxiv.org/pdf/2001.02061,"The Scaled Relative Graph (SRG) is a geometric tool that maps the action of a multi-valued nonlinear operator onto the 2D plane, used to analyze the convergence of a wide range of iterative methods. As the SRG includes the spectrum for linear operators, we can view the SRG as a generalization of the spectrum to multi-valued nonlinear operators. In this work, we further study the SRG of linear operators and characterize the SRG of block-diagonal and normal matrices."
W2782341585,OY02,2019,Convergence Rates of Forward–Douglas–Rachford Splitting Method,Cesare Molinari; Jingwei Liang; Jalal Fadili,Journal of Optimization Theory and Applications,10.1007/s10957-019-01524-9,1801.01088,article,2,https://link.springer.com/content/pdf/10.1007/s10957-019-01524-9.pdf,"Over the past decades, operator splitting methods have become ubiquitous for non-smooth optimization owing to their simplicity and efficiency. In this paper, we consider the Forward-Douglas-Rachford splitting method and study both global and local convergence rates of this method. For the global rate, we establish a sublinear convergence rate in terms of a Bregman divergence suitably designed for the objective function. Moreover, when specializing to the Forward-Backward splitting, we prove a stronger convergence rate result for the objective function value. Then locally, based on the assumption that the non-smooth part of the optimization problem is partly smooth, we establish local linear convergence of the method. More precisely, we show that the sequence generated by Forward-Douglas-Rachford first (i) identifies a smooth manifold in a finite number of iteration and then (ii) enters a local linear convergence regime, which is for instance characterized in terms of the structure of the underlying active smooth manifold. To exemplify the usefulness of the obtained result, we consider several concrete numerical experiments arising from applicative fields including, for instance, signal/image processing, inverse problems and machine learning."
W2989774217,OY02,2019,A strongly convergent Krasnosel'ski\vı-Mann-type algorithm for finding a common fixed point of a countably infinite family of nonexpansive operators in Hilbert spaces,Radu Ioan Boţ; Dennis Meier,arXiv (Cornell University),10.48550/arxiv.1911.11656,1911.11656,preprint,0,https://arxiv.org/pdf/1911.11656,"In this article, we propose a Krasnosel'ski\vı-Mann-type algorithm for finding a common fixed point of a countably infinite family of nonexpansive operators $(T_n)_{n \geq 0}$ in Hilbert spaces. We formulate an asymptotic property which the family $(T_n)_{n \geq 0}$ has to fulfill such that the sequence generated by the algorithm converges strongly to the element in $\bigcap_{n \geq 0} \operatorname{Fix} T_n$ with minimum norm. Based on this, we derive a forward-backward algorithm that allows variable step sizes and generates a sequence of iterates that converge strongly to the zero with minimum norm of the sum of a maximally monotone operator and a cocoercive one. We demonstrate the superiority of the forward-backward algorithm with variable step sizes over the one with constant step size by means of numerical experiments on variational image reconstruction and split feasibility problems in infinite dimensional Hilbert spaces."
W3081028519,CY15,2020,Asynchronous Distributed Power Control of Multimicrogrid Systems,Zhaojian Wang; Laijun Chen; Feng Liu; Peng Yi; Ming Cao; Sicheng Deng,IEEE Transactions on Control of Network Systems,10.1109/tcns.2020.3018703,,article,28,https://research.rug.nl/files/154337049/09177303.pdf,"Asynchrony widely exists in microgrids (MGs), such as nonidentical sampling rates and communication delays, which challenges the MG control. This article addresses the asynchronous distributed power control problem of hybrid microgrids, considering different kinds of asynchrony, such as nonidentical sampling rates, and random time delays. To this end, we first formulate the economic dispatch problem of MGs, and devise a synchronous algorithm. Then, we analyze the impact of asynchrony, and propose an asynchronous iteration algorithm based on the synchronous version. By introducing a random clock at each iteration, different types of asynchrony are fitted into a unified framework, where the asynchronous algorithm is converted into a fixed-point iteration problem with a nonexpansive operator, leading to a convergence proof. We further provide an upper bound estimation of the time delay. Moreover, the real-time implementation of the proposed algorithm in both ac and dc MGs is introduced. By measuring the frequency/voltage, the controller is simplified by reducing one order, and adapting to the fast varying load demand. Finally, simulations on a benchmark MG, and experiments are utilized to verify the effectiveness, and advantages of the proposed algorithm."
